  STN,YYYYMMDD,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH
#
  249,20181119,   80,  100,   17,   50,    1,  160,   17,   50,   32,   23
  377,20181101,   32,   50,   21,   10,    9,   80,   21,   97,   68,    6
  377,20181102,   33,   60,    1,   10,   18,  100,    1,   71,   -1,   24
  377,20181103,   12,   30,   14,    0,   21,   40,   13,   27,  -26,   24
  377,20181104,   15,   30,   14,    0,    2,   60,   14,   49,  -26,    1
  377,20181105,   16,   30,   12,   10,    8,   50,   11,   82,   37,   23
  377,20181106,   18,   20,    3,   10,    1,   40,    8,  101,   40,    2
  377,20181107,   39,   60,   12,   30,    1,  100,   12,  112,   68,    7
  377,20181108,   28,   50,    1,   10,   16,   90,    5,   91,   45,   20
  377,20181109,   20,   30,   11,   10,    2,   50,   12,   89,   42,    8
  377,20181110,   48,   70,    7,   30,   14,  120,    7,  126,   98,    1
  377,20181111,   57,   80,   12,   30,   23,  130,   11,  123,  103,   24
  377,20181112,   21,   30,   12,   10,    9,   60,   13,  103,   83,   22
  377,20181113,   45,   80,   11,   20,   24,  140,   12,   98,   55,   24
  377,20181114,   22,   40,   12,   10,   17,   60,    9,   66,   21,   22
  377,20181115,   23,   30,   10,   20,    1,   50,   10,   54,   17,   22
  377,20181116,   19,   40,   12,    0,    7,   60,   12,   39,  -32,    8
  377,20181117,   37,   50,   12,   30,    1,   90,   12,   42,    6,    7
  377,20181118,   41,   60,   20,   30,    1,  100,   20,   20,  -10,    7
  377,20181119,   61,   90,   23,   20,    1,  140,   13,   41,   -7,    2
  316,20181101,   73,  110,   23,   60,    3,  150,   23,     ,     ,
  316,20181102,   67,  100,    3,   30,   24,  130,    1,     ,     ,
  316,20181103,   53,   70,   22,   40,    1,   90,   22,     ,     ,
  316,20181104,   53,   60,    1,   30,   12,   90,   21,     ,     ,
  316,20181105,   53,   70,    3,   40,   11,  100,    3,     ,     ,
  316,20181106,   59,   80,   24,   50,    1,  110,   24,     ,     ,
  316,20181107,   93,  110,   11,   70,    1,  180,   11,     ,     ,
  316,20181108,   62,   90,    1,   40,   15,  120,    1,     ,     ,
  316,20181109,   62,   90,   24,   50,    3,  140,   24,     ,     ,
  316,20181110,   86,  110,    3,   60,   16,  160,    3,     ,     ,
  316,20181111,   89,  120,   11,   60,   19,  160,   11,     ,     ,
  316,20181112,   57,   80,   23,   40,    9,  110,   23,     ,     ,
  316,20181113,   89,  120,    7,   60,   18,  160,    7,     ,     ,
  316,20181114,   58,   70,    1,   40,   23,   90,    1,     ,     ,
  316,20181115,   38,   50,    1,   30,   10,   70,    6,     ,     ,
